,DATE,NO2
0,2023-01-01,27
1,2023-01-02,24
2,2023-01-03,28
3,2023-01-04,39
4,2023-01-05,39
5,2023-01-06,35
6,2023-01-07,39
7,2023-01-08,13
8,2023-01-09,17
9,2023-01-10,41
10,2023-01-11,26
11,2023-01-12,41
12,2023-01-13,41
13,2023-01-14,37
14,2023-01-15,14
15,2023-01-16,12
16,2023-01-17,7
17,2023-01-18,12
18,2023-01-19,14
19,2023-01-20,22
20,2023-01-21,19
21,2023-01-22,13
22,2023-01-23,37
23,2023-01-24,22
24,2023-01-25,24
25,2023-01-26,28
26,2023-01-27,20
27,2023-01-28,20
28,2023-01-29,18
29,2023-01-30,34
30,2023-01-31,64
31,2023-02-01,43
32,2023-02-02,56
33,2023-02-03,62
34,2023-02-04,61
35,2023-02-05,35
36,2023-02-06,28
37,2023-02-07,31
38,2023-02-08,23
39,2023-02-09,31
40,2023-02-10,33
41,2023-02-11,22
42,2023-02-12,19
43,2023-02-13,29
44,2023-02-14,36
45,2023-02-15,36
46,2023-02-16,38
47,2023-02-17,35
48,2023-02-18,36
49,2023-02-19,30
50,2023-02-20,27
51,2023-02-21,30
52,2023-02-22,35
53,2023-02-23,18
54,2023-02-24,29
55,2023-02-25,33
56,2023-02-26,27
57,2023-02-27,11
58,2023-02-28,25
59,2023-03-01,27
60,2023-03-02,39
61,2023-03-03,41
62,2023-03-04,25
63,2023-03-05,38
64,2023-03-06,18
65,2023-03-07,13
66,2023-03-08,17
67,2023-03-09,13
68,2023-03-10,12
69,2023-03-11,10
70,2023-03-12,17
71,2023-03-13,24
72,2023-03-14,10
73,2023-03-15,37
74,2023-03-16,39
75,2023-03-17,14
76,2023-03-18,9
77,2023-03-19,17
78,2023-03-20,16
79,2023-03-21,39
80,2023-03-22,31
81,2023-03-23,22
82,2023-03-24,17
83,2023-03-25,13
84,2023-03-26,8
85,2023-03-27,20
86,2023-03-28,30
87,2023-03-29,38
88,2023-03-30,13
89,2023-03-31,10
90,2023-04-01,5
91,2023-04-02,7
92,2023-04-03,19
93,2023-04-04,14
94,2023-04-05,18
95,2023-04-06,17
96,2023-04-07,12
97,2023-04-08,21
98,2023-04-09,19
99,2023-04-10,27
100,2023-04-11,16
101,2023-04-12,10
102,2023-04-13,7
103,2023-04-14,7
104,2023-04-15,9
105,2023-04-16,8
106,2023-04-17,14
107,2023-04-18,13
108,2023-04-19,18
109,2023-04-20,27
110,2023-04-21,23
111,2023-04-22,7
112,2023-04-23,14
113,2023-04-24,15
114,2023-04-25,17
115,2023-04-26,26
116,2023-04-27,34
117,2023-04-28,37
118,2023-04-29,12
119,2023-04-30,8
120,2023-05-01,9
121,2023-05-02,12
122,2023-05-03,25
123,2023-05-04,8
124,2023-05-05,20
125,2023-05-06,20
126,2023-05-07,8
127,2023-05-08,14
128,2023-05-09,11
129,2023-05-10,10
130,2023-05-11,9
131,2023-05-12,8
132,2023-05-13,5
133,2023-05-14,7
134,2023-05-15,10
135,2023-05-16,9
136,2023-05-17,7
137,2023-05-18,8
138,2023-05-19,9
139,2023-05-20,8
140,2023-05-21,9
141,2023-05-22,14
142,2023-05-23,11
143,2023-05-24,14
144,2023-05-25,21
145,2023-05-26,15
146,2023-05-27,13
147,2023-05-28,11
148,2023-05-29,20
149,2023-05-30,26
150,2023-05-31,16
151,2023-06-01,20
152,2023-06-02,16
153,2023-06-03,12
154,2023-06-04,12
155,2023-06-05,20
156,2023-06-06,16
157,2023-06-07,18
158,2023-06-08,15
159,2023-06-09,12
160,2023-06-10,9
161,2023-06-11,10
162,2023-06-12,14
163,2023-06-13,13
164,2023-06-14,12
165,2023-06-15,14
166,2023-06-16,19
167,2023-06-17,24
168,2023-06-18,9
169,2023-06-19,16
170,2023-06-20,11
171,2023-06-21,18
172,2023-06-22,19
173,2023-06-23,16
174,2023-06-24,18
175,2023-06-25,19
176,2023-06-26,17
177,2023-06-27,16
178,2023-06-28,17
179,2023-06-29,14
180,2023-06-30,8
